a	aː
glepjast	k l ɛː p j a s t
gler	k l ɛ r
glerauga	k l ɛː r œy ɣ a
gleraugna	k l ɛː r œy k n a
gleraugnafordómar	k l ɛː r œy k n a f ɔ r t ou m a r
gleraugnalaus	k l ɛː r œy k n a l œyː s
gleraugu	k l ɛː r œy ɣ ʏ
gleraugum	k l ɛː r œy ɣ ʏ m
gleraugun	k l ɛː r œy ɣ ʏ n
gleraugunum	k l ɛː r œy ɣ ɔ n ʏ m
glerbrot	k l ɛ r p r ɔ t
glerbrotin	k l ɛ r p r ɔ t ɪ n
glerbrotum	k l ɛ r p r ɔː t ʏ m
glerbrotunum	k l ɛ r p r ɔ t ɔ n ʏ m
glerbúrinu	k l ɛ r p u r ɪ n ʏ
glerdalur	k l ɛ r t aː l ʏ r
glerdyrnar	k l ɛ r t ɪ r t n a r
glerfell	k l ɛ r̥ f ɛ t l̥
glerflöskur	k l ɛ r̥ f l œ s k ʏ r
glerfínir	k l ɛ r̥ f i n ɪ r
glergerð	k l ɛ r c ɛ r ð
glergljáa	k l ɛ r k l j auː a
glergljái	k l ɛ r k l j auː ɪ
glerhallar	k l ɛ r h a t l a r
glerhart	k l ɛ r h a r̥ t
glerhausvað	k l ɛ r h œyː s v aː ð
glerhurðir	k l ɛ r h ʏ r ð ɪ r
glerhálka	k l ɛ r h au l̥ k a
glerhált	k l ɛ r h au l̥ t
glerhörpu	k l ɛ r h œ r̥ p ʏ
glerhörpuleik	k l ɛ r h œ r̥ p ʏ l eiː k
glerhörpuleikarar	k l ɛ r h œ r̥ p ʏ l eiː k a r a r
gleri	k l ɛː r ɪ
glerinu	k l ɛː r ɪ n ʏ
glerið	k l ɛː r ɪ ð
glerkennt	k l ɛ r̥ c ɛ n̥ t
glerkrukkan	k l ɛ r̥ k r ʏ h k a n
glerkrukku	k l ɛ r̥ k r ʏ h k ʏ
glerkrukkuna	k l ɛ r̥ k r ʏ h k ʏ n a
glerkrukkunni	k l ɛ r̥ k r ʏ h k ʏ n ɪ
glerperlufesti	k l ɛ r̥ p ɛ r t l ʏ f ɛ s t ɪ
glerperlum	k l ɛ r̥ p ɛ r t l ʏ m
glers	k l ɛ r̥ s
glersali	k l ɛ r̥ s a l ɪ
glersins	k l ɛ r̥ s ɪ n s
glerskáp	k l ɛ r̥ s k auː p
glerskápum	k l ɛ r̥ s k au p ʏ m
glerung	k l ɛ r u ŋ k
glerungnum	k l ɛ r u ŋ n ʏ m
glerungs	k l ɛ r u ŋ s
glerungseyðandi	k l ɛ r u ŋ k s eiː ð a n t ɪ
glervatn	k l ɛ r v a h t n̥
glerá	k l ɛː r au
glerárdalur	k l ɛː r au r t aː l ʏ r
glerárkirkja	k l ɛː r au r c ɪ r̥ c a
glerárkirkju	k l ɛː r au r c ɪ r̥ c ʏ
glerárskógaland	k l ɛː r au r̥ s k ou a l a n t
glerártorg	k l ɛː r au r t ɔ r k
glerílát	k l ɛ r iː l au t
glerþakið	k l ɛ r θ a c ɪ ð
glerþráður	k l ɛ r θ r au ð ʏ r
glettin	k l ɛ h t ɪ n
glettinganesviti	k l ɛ h t i ŋ k a n ɛː s v ɪː t ɪ
glettingskollur	k l ɛ h t i ŋ k s k ɔ t l ʏ r
glettingsstaðafoss	k l ɛ h t i ŋ s t a ð a f ɔ s
glettingsstaðir	k l ɛ h t i ŋ s t a ð ɪ r
glettinn	k l ɛ h t ɪ n
glettnar	k l ɛ h t n a r
glettni	k l ɛ h t n ɪ
glettnislaus	k l ɛ h t n ɪ s t l œyː s
glettnislega	k l ɛ h t n ɪ s t l ɛ ɣ a
glettnissvip	k l ɛ h t n ɪ s v ɪː p
glettum	k l ɛ h t ʏ m
gleyma	k l eiː m a
gleymast	k l eiː m a s t
gleymd	k l ei m t
gleymda	k l ei m t a
gleymdi	k l ei m t ɪ
gleymdist	k l ei m t ɪ s t
gleymdrar	k l ei m t r a r
gleymdu	k l ei m t ʏ
gleymdum	k l ei m t ʏ m
gleymdur	k l ei m t ʏ r
gleymi	k l eiː m ɪ
gleymin	k l eiː m ɪ n
gleymir	k l eiː m ɪ r
gleymist	k l eiː m ɪ s t
gleymsku	k l ei m s k ʏ
gleymskukúrfan	k l ei m s k ʏ k u r v a n
gleymskunnar	k l ei m s k ʏ n a r
gleymskunni	k l ei m s k ʏ n ɪ
gleymst	k l ei m s t
gleymt	k l ei m̥ t
gleymum	k l eiː m ʏ m
gleypa	k l eiː p a
gleypir	k l eiː p ɪ r
gleypiróf	k l eiː p ɪ r ou v
gleypnilitrófið	k l eiː p n ɪ l ɪː t r ou v ɪ ð
gleypt	k l ei f t
gleypti	k l ei f t ɪ
gleyptu	k l ei f t ʏ
gleypum	k l eiː p ʏ m
gleði	k l ɛː ð ɪ
gleðidagur	k l ɛː ð ɪ t aː ɣ ʏ r
gleðiefni	k l ɛː ð ɪ ɛ p n ɪ
gleðihandarhreyfingu	k l ɛː ð ɪ h a n t a r̥ eiː v i ŋ k ʏ
gleðihús	k l ɛː ð ɪ h u s
gleðilegan	k l ɛː ð ɪ l ɛː ɣ a n
gleðilegra	k l ɛː ð ɪ l ɛ ɣ r a
gleðilegur	k l ɛː ð ɪ l ɛ ɣ ʏ r
gleðimaður	k l ɛː ð ɪ m a ð ʏ r
gleðin	k l ɛː ð ɪ n
gleðinnar	k l ɛː ð ɪ n a r
gleðinni	k l ɛː ð ɪ n ɪ
gleðisnautt	k l ɛː ð ɪ s t n œy h t
gleðitíðindi	k l ɛː ð ɪ tʰ iː ð ɪ n t ɪ
gleðja	k l ɛ ð j a
gleðjast	k l ɛ ð j a s t
gleðskap	k l ɛ ð s k aː p
gleðst	k l ɛ ð s t
gleður	k l ɛː ð ʏ r
glimmerskrað	k l ɪ m ɛ r s k r a ð
glimrandi	k l ɪ m r a n t ɪ
glingur	k l i ŋ k ʏ r
glitni	k l ɪ h t n ɪ
glitnir	k l ɪ h t n ɪ r
glitnis	k l ɪ h t n ɪ s
glitra	k l ɪː t r a
glitrandi	k l ɪː t r a n t ɪ
glitrar	k l ɪː t r a r
glitraði	k l ɪː t r a ð ɪ
glitsaumi	k l ɪː t s œyː m ɪ
glitský	k l ɪː t s c i
glitstaðir	k l ɪː t s t a ð ɪ r
glitta	k l ɪ h t a
glitti	k l ɪ h t ɪ
glittir	k l ɪ h t ɪ r
glitvef	k l ɪː t v ɛ v
glitvöllum	k l ɪː t v œ t l ʏ m
gliðna	k l ɪ ð n a
gliðnun	k l ɪ ð n ʏ n
gliðnunarbeltin	k l ɪ ð n ʏ n a p ɛ l̥ t ɪ n
gljáa	k l j auː a
gljáandi	k l j auː a n t ɪ
gljábakki	k l j auː p a h c ɪ
gljúfra	k l j u v r a
gljúfraborg	k l j u v r a p ɔ r k
gljúfrabotnar	k l j u v r a p ɔ h t n a r
gljúfragil	k l j u v r a c ɪ l
gljúframýri	k l j u v r a m iː r ɪ
gljúfrará	k l j u v r a r auː
gljúfraseli	k l j u v r a s ɛː l ɪ
gljúfratungur	k l j u v r a t u ŋ k ʏ r
gljúfrinu	k l j u v r ɪ n ʏ
gljúfrið	k l j u v r ɪ ð
gljúfur	k l j u v ʏ r
gljúfurbreiða	k l j u v ʏ r p r ei ð a
gljúfurgil	k l j u v ʏ r c ɪ l
gljúfursins	k l j u v ʏ r̥ s ɪ n s
gljúfursmýrar	k l j u v ʏ r̥ s m i r a r
gljúfurá	k l j u v ʏ r auː
gljúfurárkot	k l j u v ʏ r au r k ɔ t
gljúpt	k l j u f t
global	k l ɔ p a l
globe	k l ɔ p ɛ
globin	k l ɔ p ɪ n
glommu	k l ɔ m ʏ
gloppa	k l ɔ h p a
gloppuhnjúkur	k l ɔ h p ʏ n̥ j uː k ʏ r
gloppuá	k l ɔ h p ʏ au
glorhungraðir	k l ɔː r h u ŋ k r a ð ɪ r
glorhungraður	k l ɔː r h u ŋ k r a ð ʏ r
glorhungruð	k l ɔː r h u ŋ k r ʏ ð
gloría	k l ɔ r i j a
glott	k l ɔ h t
glotta	k l ɔ h t a
glottandi	k l ɔ h t a n t ɪ
glotti	k l ɔ h t ɪ
glottir	k l ɔ h t ɪ r
glottið	k l ɔ h t ɪ ð
glottu	k l ɔ h t ʏ
glottuleitur	k l ɔ h t ʏ l eiː t ʏ r
glufunni	k l ʏː v ʏ n ɪ
glufur	k l ʏː v ʏ r
glugga	k l ʏ k a
gluggafoss	k l ʏ k a f ɔ s
gluggakerfisins	k l ʏ k a cʰ ɛ r v ɪ s ɪ n s
gluggakistunni	k l ʏ k a c ɪ s t ʏ n ɪ
gluggalaus	k l ʏ k a l œyː s
gluggalausa	k l ʏ k a l œyː s a
gluggana	k l ʏ k a n a
gluggann	k l ʏ k a n
gluggans	k l ʏ k a n s
glugganum	k l ʏ k a n ʏ m
gluggapóstinn	k l ʏ k a p ou s t ɪ n
gluggar	k l ʏ k a r
gluggasyllunni	k l ʏ k a s ɪ t l ʏ n ɪ
gluggatjöld	k l ʏ k a t j œ l t
gluggatjöldin	k l ʏ k a t j œ l t ɪ n
gluggaveður	k l ʏ k a v ɛ ð ʏ r
gluggavöllur	k l ʏ k a v œ t l ʏ r
gluggi	k l ʏ c ɪ
glugginn	k l ʏ c ɪ n
gluggum	k l ʏ k ʏ m
gluggunum	k l ʏ k ɔ n ʏ m
gluggur	k l ʏ k ʏ r
glumdi	k l ʏ m t ɪ
glumdu	k l ʏ m t ʏ
glutamate	k l ʏː t a m aː t ɛ
glutra	k l ʏː t r a
glym	k l ɪ m
glymjandavarða	k l ɪ m j a n t a v a r ð a
glymjandaárdalur	k l ɪ m j a n t a au r t aː l ʏ r
glymur	k l ɪː m ʏ r
glytta	k l ɪ h t a
glytti	k l ɪ h t ɪ
glyðru	k l ɪ ð r ʏ
glyðrulega	k l ɪ ð r ʏ l ɛ ɣ a
glákon	k l auː k ɔ n
glákosi	k l au k ɔː s ɪ
gláku	k l auː k ʏ
glám	k l auː m
gláma	k l auː m a
glámsglyrnur	k l au m s k l ɪ r t n ʏ r
glámskyggnum	k l au m s c ɪ k n ʏ m
glámumýri	k l auː m ʏ m iː r ɪ
glámur	k l auː m ʏ r
glápa	k l auː p a
glápir	k l auː p ɪ r
glápti	k l au f t ɪ
glænepjulegur	k l aiː n ɛː p j ʏ l ɛ ɣ ʏ r
glæný	k l aiː n i
glænýjast	k l aiː n i j a s t
glænýju	k l aiː n i j ʏ
glæp	k l aiː p
glæpa	k l aiː p a
glæpagengi	k l aiː p a c ei ɲ c ɪ
glæpahneigð	k l aiː p a n̥ ei ɣ ð
glæpamanna	k l aiː p a m a n a
glæpamanni	k l aiː p a m a n ɪ
glæpamannsins	k l aiː p a m a n s ɪ n s
glæpamaður	k l aiː p a m aː ð ʏ r
glæpamaðurinn	k l aiː p a m aː ð ʏ r ɪ n
glæpamenn	k l aiː p a m ɛ n
glæpamönnum	k l aiː p a m œ n ʏ m
glæpasaga	k l aiː p a s aː ɣ a
glæpasagnahöfundur	k l aiː p a s a k n a h œː v ʏ n t ʏ r
glæpasagnaritun	k l aiː p a s a k n a r ɪ t ʏ n
glæpasögur	k l aiː p a s œː ɣ ʏ r
glæpaþætti	k l aiː p a θ ai h t ɪ
glæpaþættir	k l aiː p a θ ai h t ɪ r
glæpi	k l aiː p ɪ
glæpinn	k l aiː p ɪ n
glæpir	k l aiː p ɪ r
glæpirnir	k l aiː p ɪ t n ɪ r
glæpnum	k l aiː p n ʏ m
glæpsamlegt	k l aiː p s a m l ɛ x t
glæpsamlegu	k l aiː p s a m l ɛ ɣ ʏ
glæpsins	k l aiː p s ɪ n s
glæpum	k l aiː p ʏ m
glæpur	k l aiː p ʏ r
glær	k l aiː r
glæra	k l aiː r a
glærfrymis	k l ai r̥ f r ɪː m ɪ s
glærhlaupið	k l ai r̥ l̥ œyː p ɪ ð
glærir	k l aiː r ɪ r
glært	k l ai r̥ t
glæru	k l aiː r ʏ
glæruna	k l aiː r ʏ n a
glærur	k l aiː r ʏ r
glæsi	k l aiː s ɪ
glæsibrag	k l aiː s ɪ p r aː ɣ
glæsibæjarhrepp	k l aiː s ɪ p aiː j a r̥ ɛ h p
glæsileg	k l aiː s ɪ l ɛ ɣ
glæsilega	k l aiː s ɪ l ɛ ɣ a
glæsilegasta	k l aiː s ɪ l ɛ ɣ a s t a
glæsilegasti	k l aiː s ɪ l ɛ ɣ a s t ɪ
glæsilegir	k l aiː s ɪ l ei j ɪ r
glæsilegra	k l aiː s ɪ l ɛ ɣ r a
glæsilegt	k l aiː s ɪ l ɛ x t
glæsilegu	k l aiː s ɪ l ɛ ɣ ʏ
glæsilegur	k l aiː s ɪ l ɛ ɣ ʏ r
glæsilegustu	k l aiː s ɪ l ɛ ɣ ʏ s t ʏ
glæsimenni	k l aiː s ɪ m ɛ n ɪ
glæsimennsku	k l aiː s ɪ m ɛ n s k ʏ
glæsimennskunni	k l aiː s ɪ m ɛ n s k ʏ n ɪ
glæsir	k l aiː s ɪ r
glæsirófa	k l aiː s ɪ r ouː a
glæsiskelda	k l aiː s ɪ s c ɛ l t a
glæsistaðir	k l aiː s ɪ s t a ð ɪ r
glæsta	k l ai s t a
glæstara	k l ai s t a r a
glæstir	k l ai s t ɪ r
glæstu	k l ai s t ʏ
glæstum	k l ai s t ʏ m
glæta	k l aiː t a
glætu	k l aiː t ʏ
glæðast	k l aiː ð a s t
glæðist	k l aiː ð ɪ s t
glæður	k l aiː ð ʏ r
glíma	k l iː m a
glímdi	k l i m t ɪ
glími	k l iː m ɪ
glímir	k l iː m ɪ r
glímt	k l i m̥ t
glímu	k l iː m ʏ
glímubræðrum	k l iː m ʏ p r ai ð r ʏ m
glímubrögðum	k l iː m ʏ p r œ ɣ ð ʏ m
glímueyri	k l iː m ʏ ei r ɪ
glímugarpur	k l iː m ʏ k a r̥ p ʏ r
glímugrundu	k l iː m ʏ k r ʏ n t ʏ
glímukappi	k l iː m ʏ kʰ a h p ɪ
glímukóngur	k l iː m ʏ kʰ ou ŋ k ʏ r
glímulag	k l iː m ʏ l aː ɣ
glímulist	k l iː m ʏ l ɪ s t
glímulok	k l iː m ʏ l ɔ k
glímumann	k l iː m ʏ m a n
glímumanni	k l iː m ʏ m a n ɪ
glímumenn	k l iː m ʏ m ɛ n
glímumáli	k l iː m ʏ m auː l ɪ
glímunnar	k l iː m ʏ n a r
glímusvið	k l iː m ʏ s v ɪː ð
glímutörn	k l iː m ʏ tʰ œ t n̥
glímuvegir	k l iː m ʏ v eiː j ɪ r
glímuvöll	k l iː m ʏ v œ t l̥
glímuvöllinn	k l iː m ʏ v œ t l ɪ n
glóa	k l ouː a
glóabás	k l ouː a p au s
glóandi	k l ouː a n t ɪ
glóbjört	k l ouː p j œ r̥ t
glói	k l ouː ɪ
glókollar	k l ouː k ɔ t l a r
glókollur	k l ouː k ɔ t l ʏ r
glóm	k l ouː m
glópagull	k l ouː p a ɣ ʏ t l̥
glóra	k l ouː r a
glórulaust	k l ouː r ʏ l œyː s t
glósalir	k l ouː s aː l ɪ r
glósum	k l ouː s ʏ m
glósur	k l ouː s ʏ r
glósurnar	k l ouː s ʏ t n a r
glóðarauga	k l ouː ð a r œyː ɣ a
glóðarinnar	k l ouː ð a r ɪ n a r
glóðarþráðurinn	k l ouː ð a r θ r auː ð ʏ r ɪ n
glóðheitri	k l ouː ð h eiː t r ɪ
glóði	k l ouː ð ɪ
glóðu	k l ouː ð ʏ
glóðum	k l ouː ð ʏ m
glögg	k l œ k
glöggir	k l œ c ɪ r
glögglega	k l œ k l ɛ ɣ a
glöggt	k l œ x t
glöggur	k l œ k ʏ r
glöggvað	k l œ k v a ð
glöggvunar	k l œ k v ʏ n a r
glömruðu	k l œ m r ʏ ð ʏ
glös	k l œː s
glösin	k l œː s ɪ n
glösum	k l œː s ʏ m
glötuð	k l œː t ʏ ð
glötuðust	k l œː t ʏ ð ʏ s t
glöð	k l œː ð
glöðu	k l œː ð ʏ
glöðum	k l œː ð ʏ m
glúkósa	k l uː k ou s a
glúkósaeiningum	k l uː k ou s a eiː n i ŋ k ʏ m
glúkósamagn	k l uː k ou s a m a k n̥
glúkósamagni	k l uː k ou s a m a k n ɪ
glúkósaoxídasa	k l uː k ou s a ɔ k s i t a s a
glúkósi	k l uː k ou s ɪ
glúms	k l u m s
glúmsstaðafoss	k l u m s t a ð a f ɔ s
glúmsstaðamýrar	k l u m s t a ð a m i r a r
glúmsstaðir	k l u m s t a ð ɪ r
glúpnar	k l u h p n a r
glúpnaði	k l u h p n a ð ɪ
glútamat	k l uː t a m aː t
glútamati	k l uː t a m aː t ɪ
glúten	k l uː t ɛ n
glútennæmi	k l uː t ɛ n ai m ɪ
glútens	k l uː t ɛ n s
glútenóþol	k l uː t ɛ n ouː θ ɔ l
glýkógen	k l iː k ou ɣ ɛ n
glýseríð	k l i s ɛ r i ð
glýseról	k l i s ɛ r ouː l
glýseróli	k l i s ɛ r ouː l ɪ
glýserólinu	k l i s ɛ r ou l ɪ n ʏ
gnauða	k n œyː ð a
gnauðið	k n œyː ð ɪ ð
gneisti	k n ei s t ɪ
gneistum	k n ei s t ʏ m
gnipahelli	k n ɪ p a h ɛ t l ɪ
gnitaheiði	k n̥ ɪ t a h eiː ð ɪ
gnæfa	k n aiː v a
gnæfir	k n aiː v ɪ r
gnæfði	k n ai v ð ɪ
gnægð	k n ai ɣ ð
gnípur	k n i p ʏ r
gníputóft	k n i p ʏː t ou f t
gnísta	k n i s t a
gnístir	k n i s t ɪ r
gnóstíkar	k n ou s t iː k a r
gnóttstaða	k n ou h t s t a ð a
gnúpum	k n u p ʏ m
gnúpverjaafrétti	k n u p v ɛ r j a a f r j ɛ h t ɪ
gnúpverjahreppi	k n u p v ɛ r j a r̥ ɛ h p ɪ
gnúpverjaskóli	k n u p v ɛ r j a s k ouː l ɪ
gnýr	k n̥ iː r
gnýstaðir	k n̥ iː s t a ð ɪ r
go	k ɔː
godspeed	k ɔ s p ɛ ɛː t
goffman	k ɔ f m a n
gogg	k ɔ k
gogga	k ɔ k a
goggar	k ɔ k a r
goggaði	k ɔ k a ð ɪ
goggi	k ɔ c ɪ
gogginum	k ɔ c ɪ n ʏ m
goggunarröðina	k ɔ k ʏ n a r œː ð ɪ n a
goggur	k ɔ k ʏ r
goggurinn	k ɔ k ʏ r ɪ n
going	k ɔː i ŋ k
gola	k ɔː l a
golan	k ɔː l a n
golaugargil	k ɔː l œy ɣ a r c ɪ l
golbílduhjallaröðlar	k ɔ l p i l t ʏ ç a t l a r œ ð l a r
golden	k ɔ l t ɛ n
goldin	k ɔ l t ɪ n
goleman	k ɔː l ɛ m a n
golf	k ɔ l v
golfi	k ɔ l v ɪ
golfklúbbur	k ɔ l v kʰ l u p ʏ r
golfklúbburinn	k ɔ l v kʰ l u p ʏ r ɪ n
golfkúlum	k ɔ l v cʰ uː l ʏ m
golfskálavegur	k ɔ l s k au l a v ɛ ɣ ʏ r
golfstrauminn	k ɔ l s t r œy m ɪ n
golfstraumurinn	k ɔ l s t r œy m ʏ r ɪ n
golfvelli	k ɔ l v ɛ t l ɪ
golfvöllur	k ɔ l v œ t l ʏ r
gollurshúsi	k ɔ t l̥ ʏ r̥ s h uː s ɪ
golrússnesku	k ɔ l r u s t n ɛ s k ʏ
golsóttu	k ɔ l s ou h t ʏ
goltjörn	k ɔ l t j œ r t n̥
goludalur	k ɔː l ʏ t aː l ʏ r
golunefsgjá	k ɔː l ʏ n ɛ f s c auː
golunni	k ɔː l ʏ n ɪ
golíatsbjallan	k ɔː l i j a t s p j a t l a n
gone	k ɔː n ɛ
gong	k ɔ ŋ k
good	k ɔː ɔ t
goodale	k ɔː ɔ t a l ɛː
goodalls	k ɔː ɔ t a l s
goofy	k ɔː ou f i
google	k ɔː ɔ k l ɛː
googolplex	k ɔː ɔ k ɔ l̥ p l ɛ k s
goos	k ɔː ɔː s
gor	k ɔ r
gorgeir	k ɔ r c ei r
gori	k ɔː r ɪ
gormholt	k ɔ r m h ɔ l̥ t
gormi	k ɔ r m ɪ
gormlaga	k ɔ r m l a ɣ a
gormum	k ɔ r m ʏ m
gormur	k ɔ r m ʏ r
gormurinn	k ɔ r m ʏ r ɪ n
gorvík	k ɔ r v i k
gorvíkurlækur	k ɔ r v i k ʏ r l aiː k ʏ r
gos	k ɔː s
gosa	k ɔː s a
gosagarður	k ɔː s a k a r ð ʏ r
gosanna	k ɔː s a n a
gosaska	k ɔː s a s k a
gosbelti	k ɔː s p ɛ l̥ t ɪ
gosbeltinu	k ɔː s p ɛ l̥ t ɪ n ʏ
gosbeltisins	k ɔː s p ɛ l̥ t ɪ s ɪ n s
gosbeltunum	k ɔː s p ɛ l̥ t ɔ n ʏ m
gosberg	k ɔː s p ɛ r k
gosbergi	k ɔː s p ɛ r c ɪ
gosbrunnum	k ɔː s p r ʏ n ʏ m
gosbrunnur	k ɔː s p r ʏ n ʏ r
gosdrykki	k ɔː s t r ɪ h c ɪ
gosdrykkina	k ɔː s t r ɪ h c ɪ n a
gosdrykkir	k ɔː s t r ɪ h c ɪ r
gosdrykkja	k ɔː s t r ɪ h c a
gosdrykkur	k ɔː s t r ɪ h k ʏ r
gosefna	k ɔː s ɛ p n a
gosefni	k ɔː s ɛ p n ɪ
gosefnin	k ɔː s ɛ p n ɪ n
gosefnum	k ɔː s ɛ p n ʏ m
gosflaska	k ɔː s f l a s k a
gosflösku	k ɔː s f l œ s k ʏ
gosgufum	k ɔː s k ʏ v ʏ m
goshegðun	k ɔː s h ɛ ɣ ð ʏ n
goshrinur	k ɔː s r̥ ɪ n ʏ r
goshver	k ɔː s kʰ v ɛː r
goshverirnir	k ɔː s kʰ v ɛː r ɪ t n ɪ r
gosháttum	k ɔː s h au h t ʏ m
goshættir	k ɔː s h ai h t ɪ r
gosi	k ɔː s ɪ
gosin	k ɔː s ɪ n
gosinu	k ɔː s ɪ n ʏ
gosið	k ɔː s ɪ ð
goslausum	k ɔː s t l œy s ʏ m
goslokum	k ɔː s t l ɔ k ʏ m
gosmekki	k ɔː s m ɛ h c ɪ
gosmyndanir	k ɔː s m ɪ n t a n ɪ r
gosmyndunum	k ɔː s m ɪ n t ɔ n ʏ m
gosmökkur	k ɔː s m œ h k ʏ r
gosmökkurinn	k ɔː s m œ h k ʏ r ɪ n
gosmöl	k ɔː s m œː l
gosop	k ɔː s ɔː p
gosreinin	k ɔː s r ei n ɪ n
gosrásina	k ɔː s r au s ɪ n a
goss	k ɔ s
gossa	k ɔ s a
gossins	k ɔ s ɪ n s
gosskeið	k ɔ s c ei ð
gossprungan	k ɔ s p r u ŋ k a n
gossprungu	k ɔ s p r u ŋ k ʏ
gossprungunnar	k ɔ s p r u ŋ k ʏ n a r
gossprungunni	k ɔ s p r u ŋ k ʏ n ɪ
gosstað	k ɔ s t a ð
gosstöðinni	k ɔ s t œː ð ɪ n ɪ
gosstöðvar	k ɔ s t œ ð v a r
gosstöðvarnar	k ɔ s t œ ð v a t n a r
gossögu	k ɔ s œː ɣ ʏ
gossöguna	k ɔ s œː ɣ ʏ n a
gostíma	k ɔː s tʰ iː m a
gosum	k ɔː s ʏ m
gosunum	k ɔː s ɔ n ʏ m
gosvirknin	k ɔː s v ɪ r̥ k n ɪ n
gosösku	k ɔː s œ s k ʏ
gosöskuhrúga	k ɔː s œ s k ʏ r̥ uː a
got	k ɔː t
gotar	k ɔː t a r
gotha	k ɔː t a
gotið	k ɔː t ɪ ð
gotlandi	k ɔː t l a n t ɪ
gotnesk	k ɔ h t n ɛ s k
gotnesku	k ɔ h t n ɛ s k ʏ
gotneskum	k ɔ h t n ɛ s k ʏ m
gotovina	k ɔː t ɔ v ɪ n a
gott	k ɔ h t
gotteríið	k ɔ h t ɛ r i j ɪ ð
gottfrid	k ɔ h t f r i t
gottskálk	k ɔ h t s k au l̥ k
gottskálks	k ɔ h t s k au l̥ k s
gottskálkssonar	k ɔ h t s k au l̥ k s ɔː n a r
gottsveinn	k ɔ h t s v ei t n̥
gottsvin	k ɔ h t s v ɪ n
gouges	k ɔː ʏ c ɛ s
gould	k ɔː ʏ l t
government	k ɔ v ɛ r n m ɛ n̥ t
goð	k ɔː ð
goða	k ɔː ð a
goðadómur	k ɔː ð a t ou m ʏ r
goðafjall	k ɔː ð a f j a t l̥
goðafoss	k ɔː ð a f ɔ s
goðafossi	k ɔː ð a f ɔ s ɪ
goðafræði	k ɔː ð a f r ai ð ɪ
goðafræðinnar	k ɔː ð a f r aiː ð ɪ n a r
goðafræðinni	k ɔː ð a f r aiː ð ɪ n ɪ
goðahellir	k ɔː ð a h ɛ t l ɪ r
goðahnjúkur	k ɔː ð a n̥ j uː k ʏ r
goðahrauni	k ɔː ð a r̥ œyː n ɪ
goðahryggur	k ɔː ð a r̥ ɪ k ʏ r
goðaklettur	k ɔː ð a k l ɛ h t ʏ r
goðakvæði	k ɔː ð a k v ai ð ɪ
goðakvæðin	k ɔː ð a kʰ v aiː ð ɪ n
goðakór	k ɔː ð a k ouː r
goðaland	k ɔː ð a l a n t
goðalandi	k ɔː ð a l a n t ɪ
goðann	k ɔː ð a n
goðanna	k ɔː ð a n a
goðans	k ɔː ð a n s
goðar	k ɔː ð a r
goðarnir	k ɔ ð a t n ɪ r
goðatættur	k ɔ ð a t ai h t ʏ r
goðavald	k ɔː ð a v a l t
goðavaldinu	k ɔː ð a v a l t ɪ n ʏ
goðaveldisöld	k ɔː ð a v ɛ l t ɪ s œ l t
goðdalshyrna	k ɔ ð t a l s h ɪ r t n a
goðdalsárvötn	k ɔ ð t a l s au r v œ h t n̥
goðfræði	k ɔ ð f r ai ð ɪ
goðfræðileg	k ɔ ð f r aiː ð ɪ l ɛ ɣ
goðhóll	k ɔ ð h ou t l̥
goði	k ɔː ð ɪ
goðin	k ɔː ð ɪ n
goðinn	k ɔː ð ɪ n
goðinu	k ɔː ð ɪ n ʏ
goðið	k ɔː ð ɪ ð
goðmundur	k ɔ ð m ʏ n t ʏ r
goðorð	k ɔː ð ɔ r ð
goðorðinu	k ɔː ð ɔ r ð ɪ n ʏ
goðorðið	k ɔː ð ɔ r ð ɪ ð
goðorðsmaður	k ɔː ð ɔ r ð s m a ð ʏ r
goðorðum	k ɔː ð ɔ r ð ʏ m
goðsagnakennd	k ɔ ð s a k n a c ɛ n t
goðsagnavera	k ɔ ð s a k n a v ɛː r a
goðsagnaverur	k ɔ ð s a k n a v ɛː r ʏ r
goðsagnir	k ɔ ð s a k n ɪ r
goðsögn	k ɔ ð s œ k n̥
goðsögnin	k ɔ ð s œ k n ɪ n
goðsögnum	k ɔ ð s œ k n ʏ m
goðsöguleg	k ɔ ð s œ ɣ ʏ l ɛ ɣ
goðsögum	k ɔ ð s œ ɣ ʏ m
goðsögunum	k ɔ ð s œ ɣ ɔ n ʏ m
goðsögur	k ɔ ð s œ ɣ ʏ r
goðum	k ɔː ð ʏ m
goðunum	k ɔ ð ɔ n ʏ m
goðvatnskriki	k ɔ ð v a s k r ɪː c ɪ
goðvatnslækur	k ɔ ð v a s t l aiː k ʏ r
goðvera	k ɔ ð v ɛ r a
goðverur	k ɔ ð v ɛː r ʏ r
goðá	k ɔ ð au
gr	k r
graddabunga	k r a t a p u ŋ k a
graf	k r aː v
grafa	k r aː v a
grafadý	k r aː v a t i
grafalvarleg	k r aː v a l v a r l ɛ ɣ
grafalvarlegt	k r aː v a l v a r l ɛ x t
grafalvarlegur	k r aː v a l v a r l ɛ ɣ ʏ r
grafar	k r aː v a r
grafaravespa	k r aː v a r a v ɛ s p a
grafaraxlir	k r aː v a r a k s t l ɪ r
grafarbarð	k r aː v a r p a r ð
grafarflói	k r aː v a r f l ouː ɪ
grafargerðishvammur	k r aː v a r c ɛ r ð ɪ s kʰ v a m ʏ r
grafargilslækur	k r aː v a r c ɪ l s t l aiː k ʏ r
grafarhaus	k r aː v a r h œyː s
